com.samsung.health.floors_climbed,6201005,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-11-25 05:53:37.000,,2021-11-25 05:53:55.169,2021-11-25 05:53:55.103,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-25 05:53:55.000,490576b8-ec79-404f-b5fe-61dc95b284b1,
2021-11-26 01:40:24.000,,2021-11-26 01:43:43.539,2021-11-26 01:43:43.405,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-26 01:40:46.000,29cfb9cb-34fd-4a5f-a4be-0f95c5b833bb,
2021-11-26 22:21:13.000,,2021-11-26 22:25:10.142,2021-11-26 22:25:09.998,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-26 22:21:34.000,1751bbac-366a-4c9c-aa26-19ef510facd4,
2021-11-27 02:50:14.000,,2021-11-27 02:53:16.462,2021-11-27 02:53:16.015,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-27 02:51:08.000,c11e7726-eab2-4b65-8045-7d5ef5b3301c,
2021-11-27 05:32:17.000,,2021-11-27 05:36:36.370,2021-11-27 05:36:36.216,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-27 05:32:36.000,93fd8381-2688-4ca2-9c19-0b3bf7a19d3f,
2021-11-28 22:16:42.000,,2021-11-28 22:20:50.224,2021-11-28 22:20:49.900,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-28 22:17:59.000,8db6946d-1330-4cd5-bdee-a799351b6b36,
2021-11-29 03:49:37.000,,2021-11-29 04:05:55.204,2021-11-29 04:05:54.131,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-29 03:50:40.000,df63d108-f721-4882-b272-edd9e9742a0c,
2021-11-30 09:36:06.000,,2021-11-30 09:41:19.130,2021-11-30 09:41:18.766,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-30 09:36:24.000,88e3129e-f7ae-418e-b096-484ffa7c1650,
2021-12-01 22:16:41.000,,2021-12-01 22:17:59.652,2021-12-01 22:17:03.661,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-01 22:18:00.000,85307efb-98d1-41ce-95ea-4cd47842e388,
2021-12-02 03:15:21.000,,2021-12-02 03:19:39.622,2021-12-02 03:19:39.476,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-02 03:15:59.000,226beec2-6ae8-438d-ad78-6bed494a90f9,
2021-12-03 03:21:07.000,,2021-12-03 03:22:48.709,2021-12-03 03:22:48.318,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-03 03:21:48.000,9b9a3276-759e-4306-ba71-d02b2f438030,
2021-12-03 07:28:03.000,,2021-12-03 07:56:17.867,2021-12-03 07:56:17.839,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-03 07:28:37.000,228f07d8-48c9-4d82-9771-d59f8522e404,
2021-12-06 03:32:44.000,,2021-12-06 03:42:54.440,2021-12-06 03:42:01.157,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-06 03:35:00.000,2f40150d-90aa-4c62-a20f-db8dc86f0dfe,
2021-12-06 07:35:48.000,,2021-12-06 07:39:40.250,2021-12-06 07:39:39.781,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-06 07:36:07.000,ee62b5b4-ac36-4cb6-9e1b-cc788e86b77d,
2021-12-08 01:19:22.001,,2021-12-08 01:32:03.406,2021-12-08 01:32:03.249,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-08 01:19:40.000,e92cc185-2d0f-4588-b986-91fd0fb07e93,
2021-12-08 10:02:40.999,,2021-12-08 10:04:04.169,2021-12-08 10:04:04.169,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-08 10:02:52.999,79100434-64bb-4b0f-9587-5947c08f3c7e,
2021-12-09 01:28:11.000,,2021-12-09 01:32:43.002,2021-12-09 01:32:42.798,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-09 01:28:30.000,5fa970a7-1993-4bd4-a54b-d6bbbbf1fa04,
2021-12-09 07:41:55.000,,2021-12-09 07:48:45.899,2021-12-09 07:48:45.899,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-09 07:42:19.000,336de7cc-253a-406c-b634-2b7744bdf92a,
2021-12-10 09:54:12.000,,2021-12-10 09:56:00.378,2021-12-10 09:56:00.378,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-10 09:54:35.000,026c6afd-9a71-4635-977e-6ca3439b48a2,
2021-12-13 09:30:54.000,,2021-12-13 09:38:58.873,2021-12-13 09:38:58.522,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-13 09:32:15.999,077168e0-3081-4ff2-a77a-8342785d2ea2,
2021-12-14 04:00:01.000,,2021-12-14 04:00:33.131,2021-12-14 04:00:16.172,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-14 04:00:33.000,f56c940f-e899-46b9-917f-435ee5056e32,
2021-12-16 10:24:34.000,,2021-12-16 10:25:07.519,2021-12-16 10:25:07.519,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-12-16 10:24:43.000,d5fcc931-3a18-40bb-b6bb-ba9dbad7602a,
2021-10-11 04:00:25.000,,2021-10-11 04:02:46.115,2021-10-11 04:02:46.003,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-11 04:01:06.000,bddef4d7-c658-427f-a356-33161800c3bf,
2021-10-12 22:20:59.000,,2021-10-12 22:22:13.504,2021-10-12 22:22:13.271,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-12 22:21:47.000,0e6a37c5-b6ee-4b07-b143-2c181b2656d0,
2021-10-13 04:39:53.000,,2021-10-13 04:42:02.893,2021-10-13 04:42:02.575,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-13 04:41:04.000,d2ba2d7f-861f-42ce-87fd-87d487392f7b,
2021-10-14 23:02:21.000,,2021-10-14 23:12:28.225,2021-10-14 23:12:27.162,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-14 23:02:39.000,7235dfce-bd82-4975-9797-1631013031ba,
2021-10-15 01:07:52.000,,2021-10-15 01:18:52.491,2021-10-15 01:18:52.362,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-15 01:08:17.000,ef16167c-63b9-4e9f-b777-6414ddb45164,
2021-10-15 04:56:42.000,,2021-10-15 05:08:40.128,2021-10-15 05:08:39.951,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-15 04:57:07.000,96736469-3bcc-4c68-9a9a-ab1b80e519ee,
