com.samsung.shealth.tracker.pedometer_step_count,6200039,2,,,,,,,,,,,,,,,
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
9737,4,0,21,53:00.0,,,55:40.7,55:40.7,21,1.7499999,17.04,0.79,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,54:00.0,cd9c833b-8647-4eba-a9ff-153337344817
47441,4,0,93,15:00.0,,,37:50.2,37:50.2,93,1.5277778,72.48,3.67,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,16:00.0,33a82f63-4cb9-4ac3-8a14-6918aa3d29e9
4499,4,0,10,30:00.0,,,30:24.2,30:21.5,10,1.7911437,8.06,0.36999997,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,31:00.0,686688f1-8dd1-4db0-ab75-b421e971c157
9370,4,2,23,36:00.0,,,55:39.2,55:39.2,25,2.8888888,27.07,1.37,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,37:00.0,083d472c-c32e-484e-9812-f090be3332a6
9135,4,0,23,34:00.0,,,35:22.2,35:22.2,23,2.1388888,19.54,0.83,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,35:00.0,4c25dc8f-cca4-4a2a-99c1-d6ebf9260361
60000,4,0,114,39:00.0,,,55:42.6,55:42.6,114,1.4564999,87.39,4.56,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,40:00.0,3d80ee9c-c003-45c3-bf6f-d71003b434d7
47321,4,0,93,10:00.0,,,15:15.8,15:15.8,93,1.6111112,76.24,3.88,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,11:00.0,e7db5351-0535-469d-a270-7b862c1b84c0
34373,4,0,67,16:00.0,,,34:16.7,16:00.3,67,1.5185909,52.200005,2.6299994,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,17:00.0,13b6f24a-69fb-4dd6-aabd-b860069c8806
6630,4,0,11,42:00.0,,,55:42.7,55:42.7,11,1.1944444,7.92,0.42,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,43:00.0,d7a969ac-2cd8-4d3f-8ae4-84f052f7cac2
60000,4,0,113,13:00.0,,,15:18.9,15:18.9,113,1.4495001,86.97,4.52,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,14:00.0,aa114b0e-e4f3-49d6-aa73-8249f1fde9ea
16791,4,0,38,16:00.0,,,35:43.0,35:43.0,38,1.8611112,31.25,1.48,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,17:00.0,33697846-27f3-41f1-93a9-c0449a22a3c5
60000,4,0,117,47:00.0,,,55:40.5,55:40.5,117,1.5086668,90.52,4.68,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,48:00.0,b38e8ade-365f-4431-a619-b7d6d6eb49d9
59119,4,0,107,40:00.0,,,55:42.6,55:42.6,107,1.3888888,82.11,4.28,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,41:00.0,c920fe42-30aa-4df8-aac9-996f39277a42
11333,4,0,22,48:00.0,,,55:39.3,55:39.3,22,1.5,17,0.81,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,49:00.0,88941026-7dd4-4c7d-b471-46438295d3b3
15760,4,0,37,27:00.0,,,35:25.4,35:25.4,37,2,31.52,1.4,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,28:00.0,eb70a321-7f8e-47a1-82a5-fa60f903278a
