com.samsung.health.sleep_stage,6200039,6,,,,,,,,
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
41:09.0,00000000-0000-0000-0000-00002ac81757,,41:09.0,49:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,49:09.0,f5f39d1d-cbd5-eb19-a4fa-47be696e0f12
10:30.0,00000000-0000-0000-0000-000018f55f29,,10:30.0,11:30.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,11:30.0,c932b331-58de-f401-2a61-a7fc37c22bc0
22:51.0,00000000-0000-0000-0000-0000505f553a,,22:51.0,24:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,24:51.0,7e564fa9-774d-3334-76bc-ecab31d82c02
49:09.0,00000000-0000-0000-0000-00002ac81757,,49:09.0,23:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,23:09.0,639edaaf-07b7-4808-a258-44f954f2a7df
39:25.0,00000000-0000-0000-0000-00006f0a68f3,,39:25.0,39:26.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,39:26.0,2bc83024-146c-5771-de37-3c2e3cc4d9e0
52:09.0,00000000-0000-0000-0000-00002ac81757,,52:09.0,53:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,53:09.0,e52f98fe-9f60-3f64-7a0a-cb5074acd558
43:45.0,00000000-0000-0000-0000-00004571fbcf,,43:45.0,59:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,59:45.0,02157f72-baa3-e5d1-f2bb-00b3c0d2abcc
10:45.0,00000000-0000-0000-0000-000020f41578,,10:45.0,11:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,11:45.0,7ed663a9-d489-1210-4662-c0b934b2d283
04:45.0,00000000-0000-0000-0000-000020f41578,,04:45.0,09:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,09:45.0,51e719de-e874-c889-3519-a3e7caef1ddc
59:45.0,00000000-0000-0000-0000-00004571fbcf,,59:45.0,00:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,00:45.0,736c5d47-aba7-64fd-1a35-b1abd30e1117
03:25.0,00000000-0000-0000-0000-00006f0a68f3,,03:25.0,04:25.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,04:25.0,bcabc7f8-2fac-936e-3262-534a624e36c4
53:25.0,00000000-0000-0000-0000-0000251251c1,,53:25.0,55:25.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,55:25.0,c2137b93-ca3b-c2da-9595-42a474389bed
29:25.0,00000000-0000-0000-0000-00006f0a68f3,,29:25.0,30:25.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,30:25.0,4e3751b6-069c-bc68-23b3-dc456509e101
29:45.0,00000000-0000-0000-0000-00004571fbcf,,29:45.0,30:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,30:45.0,eba65fe0-811c-bdc0-c27f-1173d65684b9
02:45.0,00000000-0000-0000-0000-00004571fbcf,,02:45.0,07:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,07:45.0,07202af2-3d1e-51b4-baf5-f18cc4396185
15:51.0,00000000-0000-0000-0000-0000505f553a,,15:51.0,20:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,20:51.0,940b3c88-42ae-e0b4-d7b0-2253f438ddc2
35:03.0,00000000-0000-0000-0000-000003e753ed,,35:03.0,36:03.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,36:03.0,3f49864a-bfa9-17cd-2530-a34b91f3016f
04:25.0,00000000-0000-0000-0000-00006f0a68f3,,04:25.0,25:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,25:25.0,753a067c-f7b4-8f10-101d-3bb315a7552a
46:45.0,00000000-0000-0000-0000-00004571fbcf,,46:45.0,48:45.0,40003,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,48:45.0,6143ade3-74f7-3000-4ca3-76e8727d8760
25:25.0,00000000-0000-0000-0000-0000251251c1,,25:25.0,26:25.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,26:25.0,8c45a23e-f774-7d5d-c58b-c68623170697
05:25.0,00000000-0000-0000-0000-0000251251c1,,05:25.0,07:25.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,07:25.0,7bac7a53-f2cf-303e-901d-f0bf2ed14215
