com.samsung.shealth.exercise,6200039,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,,,,1,,,,4,0,0,,,,,,,,,1565296,,,,12:00.0,1001,,,,,30001,,,,55:41.4,55:41.4,,1.8333334,,,2739,2112.5,,98.87,,,,UTC+0900,fLETIHaUF/,,,6b5e1bf1-5c59-4b8a-9b27-b9b1003400b9.com.samsung.health.exercise.live_data.json,,1.349585,com.sec.android.app.shealth,,,,38:05.0,6b5e1bf1-5c59-4b8a-9b27-b9b1003400b9,
,,,,1,,,,4,0,0,,,,,,,,,2400533,,,,43:00.0,1001,,,,,30001,,,,35:39.4,35:39.4,,1.6944444,,,4126,3135.73,,164.42,,,,UTC+0900,fLETIHaUF/,,,48347c40-6f32-4c1a-9e2e-8bd6c6b5bbdb.com.samsung.health.exercise.live_data.json,,1.3062639,com.sec.android.app.shealth,,,,23:00.0,48347c40-6f32-4c1a-9e2e-8bd6c6b5bbdb,
,,,,1,,,,4,0,0,,,,,,,,,1183767,,,,41:00.0,1001,,,,,30001,,,,02:48.1,02:48.1,,1.6111112,,,2077,1604.09,,83.01,,,,UTC+0900,fLETIHaUF/,,,74ee1532-cd9d-4382-bbcf-15ce8571e760.com.samsung.health.exercise.live_data.json,,1.3550724,com.sec.android.app.shealth,,,,00:43.0,74ee1532-cd9d-4382-bbcf-15ce8571e760,
,,,,1,,,,4,0,0,,,,,,,,,2991773,,,,04:25.0,1001,,,,,30001,,,,21:37.8,21:37.8,,2,,,5057,3865.45,,194.76,,,,UTC+0900,fLETIHaUF/,,,6542567d-9472-4bd9-83b9-7f6f93f468f4.com.samsung.health.exercise.live_data.json,,1.2920265,com.sec.android.app.shealth,,,,54:16.0,6542567d-9472-4bd9-83b9-7f6f93f468f4,
,,,,1,,,,4,0,0,,,,,,,,,2157289,,,,41:00.0,1001,,,,,30001,,,,19:01.7,19:01.7,,1.5277778,,,3744,2825.9,,149.61,,,,UTC+0900,fLETIHaUF/,,,c5b6aab4-06f3-4907-b77d-38d1874160cc.com.samsung.health.exercise.live_data.json,,1.309931,com.sec.android.app.shealth,,,,16:57.0,c5b6aab4-06f3-4907-b77d-38d1874160cc,
,,,,1,,,,4,0,0,,,,,,,,,4099256,,,,01:00.0,1001,,,,,30001,,,,15:40.6,15:40.6,,1.6388888,,,7030,5359.88,,280.79,,,,UTC+0900,fLETIHaUF/,,,c461f40e-66e6-4721-ad9c-c6e94616cf01.com.samsung.health.exercise.live_data.json,,1.307525,com.sec.android.app.shealth,,,,09:19.0,c461f40e-66e6-4721-ad9c-c6e94616cf01,
,,,,1,,,,4,0,0,,,,,,,,,1229068,,,,56:00.0,1001,,,,,30001,,,,37:50.3,37:50.3,,1.8055556,,,2146,1665.91,,85.83,,,,UTC+0900,fLETIHaUF/,,,a227ee64-75ba-408b-ba12-3f2e832268c4.com.samsung.health.exercise.live_data.json,,1.3554254,com.sec.android.app.shealth,,,,16:29.0,a227ee64-75ba-408b-ba12-3f2e832268c4,
,,,,1,,,,4,0,0,,,,,,,,,1923068,,,,56:00.0,1001,,,,,30001,,,,35:42.9,35:42.9,,1.5,,,3474,2634.94,,138.89,,,,UTC+0900,fLETIHaUF/,,,077efafd-cd0b-4e64-ad7e-7f28e45b1837.com.samsung.health.exercise.live_data.json,,1.3701751,com.sec.android.app.shealth,,,,28:03.0,077efafd-cd0b-4e64-ad7e-7f28e45b1837,
,,,,1,,,,4,0,0,,,,,,,,,1506884,,,,56:00.0,1001,,,,,30001,,,,28:24.4,28:24.4,,2.0277777,,,2418,1839.62,,96.28,,,,UTC+0900,fLETIHaUF/,,,1bb386af-364b-4437-b9aa-cf5ba1a37e75.com.samsung.health.exercise.live_data.json,,1.2208107,com.sec.android.app.shealth,,,,21:06.0,1bb386af-364b-4437-b9aa-cf5ba1a37e75,
,,,,1,,,,4,0,0,,,,,,,,,2592328,,,,41:00.0,1001,,,,,30001,,,,44:24.8,44:24.8,,1.9722222,,,4631,3597.32,,184.42,,,,UTC+0900,fLETIHaUF/,,,480afb11-5a52-42c5-b309-8111d7657c4f.com.samsung.health.exercise.live_data.json,,1.3876793,com.sec.android.app.shealth,,,,24:12.0,480afb11-5a52-42c5-b309-8111d7657c4f,
,,,,1,,,,4,0,0,,,,,,,,,1840000,,,,30:00.0,1001,,,,,30001,,,,33:49.0,33:49.0,,1.8611112,,,3117,2365.33,,124,,,,UTC+0900,fLETIHaUF/,,,f1d58c66-ce59-4615-bd15-cbdd78fbc92e.com.samsung.health.exercise.live_data.json,,1.2855054,com.sec.android.app.shealth,,,,00:40.0,f1d58c66-ce59-4615-bd15-cbdd78fbc92e,
,,,,1,,,,4,0,0,,,,,,,,,2171868,,,,15:00.0,1001,,,,,30001,,,,57:03.9,57:03.9,,2.1388888,,,3619,2805.78,,144.98,,,,UTC+0900,fLETIHaUF/,,,24b5678a-e4c9-4841-b81b-6ebe6c50bd41.com.samsung.health.exercise.live_data.json,,1.291874,com.sec.android.app.shealth,,,,51:12.0,24b5678a-e4c9-4841-b81b-6ebe6c50bd41,
,,,,1,,,,4,0,0,,,,,,,,,2121849,,,,12:01.0,1001,,,,,30001,,,,13:24.5,13:24.5,,1.5277778,,,3678,2821.21,,146.67,,,,UTC+0900,fLETIHaUF/,,,dd821c10-8063-4ca2-b82c-e7d8d113c9c3.com.samsung.health.exercise.live_data.json,,1.3295997,com.sec.android.app.shealth,,,,47:22.0,dd821c10-8063-4ca2-b82c-e7d8d113c9c3,
,,,,1,,,,4,0,0,,,,,,,,,1030266,,,,44:25.0,1001,,,,,30001,,,,16:10.3,16:10.3,,1.5,,,1794,1356.62,,71.72,,,,UTC+0900,fLETIHaUF/,,,cf44f91e-e1b2-478c-a2fc-862c1db3fb64.com.samsung.health.exercise.live_data.json,,1.3167667,com.sec.android.app.shealth,,,,01:35.0,cf44f91e-e1b2-478c-a2fc-862c1db3fb64,
,,,,1,,,,4,0,0,,,,,,,,,4204289,,,,16:00.0,1001,,,,,30001,,,,35:52.9,35:52.9,,1.9722222,,,7003,5389.64,,280.7,,,,UTC+0900,fLETIHaUF/,,,331279a5-9881-4184-80f7-bc5edfd7c89d.com.samsung.health.exercise.live_data.json,,1.2819386,com.sec.android.app.shealth,,,,26:04.0,331279a5-9881-4184-80f7-bc5edfd7c89d,
,,,,1,,,,4,0,0,,,,,,,,,1928141,,,,22:00.0,1001,,,,,30001,,,,08:39.0,08:39.0,,1.9444444,,,3241,2459.91,,129.63,,,,UTC+0900,fLETIHaUF/,,,bd3d9c40-a8f0-4a82-abc4-4f279f485bb8.com.samsung.health.exercise.live_data.json,,1.2757936,com.sec.android.app.shealth,,,,54:08.0,bd3d9c40-a8f0-4a82-abc4-4f279f485bb8,
