com.samsung.shealth.tracker.pedometer_day_summary,6200039,5,,,,,,,,,,,,,,,,
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
252,ad2f62c9-9b6a-43c0-9ea9-1c5a342a2d8a.binning_data.json,1680000,6000,0,00:09.0,com.sec.android.app.shealth,00:09.0,,0.11750211,197.40355,8.8019085,252,GzaRnrgqFB,com.sec.android.app.shealth,0,ad2f62c9-9b6a-43c0-9ea9-1c5a342a2d8a.achievement.json,ad2f62c9-9b6a-43c0-9ea9-1c5a342a2d8a,1.62924E+12
1324,d4c148af-c493-4ac2-a64d-ed2198004f51.binning_data.json,821732,6000,2,51:42.0,com.sec.android.app.shealth,51:42.0,,1.2288414,1009.7793,47.20526,1322,NooOiVctGC,com.sec.android.app.shealth,0,d4c148af-c493-4ac2-a64d-ed2198004f51.achievement.json,d4c148af-c493-4ac2-a64d-ed2198004f51,1.62881E+12
2442,35d40b28-4941-4984-8841-ba160ab4057a.binning_data.json,1484123,6000,4,00:11.9,com.sec.android.app.shealth,00:11.9,,1.2553605,1863.1104,88.15297,2438,NooOiVctGC,com.sec.android.app.shealth,0,35d40b28-4941-4984-8841-ba160ab4057a.achievement.json,35d40b28-4941-4984-8841-ba160ab4057a,1.62933E+12
781,6224590f-eeeb-4657-bd14-8f92a4daa97d.binning_data.json,457566,6000,3,00:01.6,com.sec.android.app.shealth,00:01.6,,1.3051715,597.20215,28.386047,778,NooOiVctGC,com.sec.android.app.shealth,0,6224590f-eeeb-4657-bd14-8f92a4daa97d.achievement.json,6224590f-eeeb-4657-bd14-8f92a4daa97d,1.62899E+12
2437,1a3599cc-5ad3-4f4c-9570-4c16ca09f3ba.binning_data.json,1774046,6000,0,08:03.2,com.sec.android.app.shealth,36:50.0,1a3599cc-5ad3-4f4c-9570-4c16ca09f3ba.source_info.json,1.0580983,1877.1152,85.69623,2437,VfS0qUERdZ,com.sec.android.app.shealth,0,1a3599cc-5ad3-4f4c-9570-4c16ca09f3ba.achievement.json,1a3599cc-5ad3-4f4c-9570-4c16ca09f3ba,1.6295E+12
4774,a2d40ecc-ef8a-4a34-8946-1ef79e46d803.binning_data.json,8939999,6000,0,43:53.0,com.sec.android.app.shealth,43:38.7,,0.41175982,3681.1328,167.22128,4774,GzaRnrgqFB,com.sec.android.app.shealth,0,a2d40ecc-ef8a-4a34-8946-1ef79e46d803.achievement.json,a2d40ecc-ef8a-4a34-8946-1ef79e46d803,1.62864E+12
1267,aa9a298a-dea4-4fbf-a27d-d6e3f35e8054.binning_data.json,2160000,6000,0,00:03.4,com.sec.android.app.shealth,00:03.4,,0.45478967,982.3457,44.29181,1267,GzaRnrgqFB,com.sec.android.app.shealth,0,aa9a298a-dea4-4fbf-a27d-d6e3f35e8054.achievement.json,aa9a298a-dea4-4fbf-a27d-d6e3f35e8054,1.62916E+12
1734,7855ae2a-93c1-499d-b545-957293beec4d.binning_data.json,3779999,6000,0,00:02.9,com.sec.android.app.shealth,00:02.9,,0.35441828,1339.701,60.672707,1734,GzaRnrgqFB,com.sec.android.app.shealth,0,7855ae2a-93c1-499d-b545-957293beec4d.achievement.json,7855ae2a-93c1-499d-b545-957293beec4d,1.62942E+12
900,a39da6c2-d79d-43a1-9fec-f173cf9357c2.binning_data.json,1739999,6000,0,00:22.7,com.sec.android.app.shealth,00:22.7,,0.39939502,694.94727,31.526367,900,GzaRnrgqFB,com.sec.android.app.shealth,0,a39da6c2-d79d-43a1-9fec-f173cf9357c2.achievement.json,a39da6c2-d79d-43a1-9fec-f173cf9357c2,1.62899E+12
3254,3bd85948-e2bc-4998-a935-5ba5027ff3c7.binning_data.json,3931519,6000,81,47:28.6,com.sec.android.app.shealth,08:25.7,3bd85948-e2bc-4998-a935-5ba5027ff3c7.source_info.json,0.6404586,2517.9758,118.768036,3173,VfS0qUERdZ,com.sec.android.app.shealth,0,3bd85948-e2bc-4998-a935-5ba5027ff3c7.achievement.json,3bd85948-e2bc-4998-a935-5ba5027ff3c7,1.62933E+12
1981,7a14f497-b588-4c97-be9a-9039542d372b.binning_data.json,1150522,6000,10,00:01.7,com.sec.android.app.shealth,00:01.7,,1.3235568,1522.7812,70.908325,1971,NooOiVctGC,com.sec.android.app.shealth,0,7a14f497-b588-4c97-be9a-9039542d372b.achievement.json,7a14f497-b588-4c97-be9a-9039542d372b,1.62907E+12
