com.samsung.shealth.calories_burned.details,6200039,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,58b7bc21-3319-4eb5-aa4c-61c803f25411.extra_data.json,0.0,1070533,1596.0176,2018-01-05 07:29:23.191,2017-12-21 15:02:55.322,57.140007,wakAfCXJCw,com.sec.android.app.shealth,58b7bc21-3319-4eb5-aa4c-61c803f25411,1513900800000,
,,444159aa-38e8-466d-8583-e67f9b134205.extra_data.json,0.0,966556,1597.9623,2018-01-18 15:00:01.210,2018-01-17 15:00:00.587,51.96,wakAfCXJCw,com.sec.android.app.shealth,444159aa-38e8-466d-8583-e67f9b134205,1516233600000,
,,87000db8-7577-446c-8970-71f561800972.extra_data.json,0.0,498781,1606.7117,2018-01-05 07:29:23.344,2017-12-26 15:00:38.932,27.159998,wakAfCXJCw,com.sec.android.app.shealth,87000db8-7577-446c-8970-71f561800972,1514332800000,
,,0ca55e2f-6b8c-412a-bfb4-dd82c1e2b006.extra_data.json,0.0,2543271,1568.4712,2018-01-05 07:29:23.378,2017-12-27 15:03:52.714,130.32,wakAfCXJCw,com.sec.android.app.shealth,0ca55e2f-6b8c-412a-bfb4-dd82c1e2b006,1514419200000,
,,a432766e-ea97-44e4-8cfe-db12a8274024.extra_data.json,0.0,480180,1612.7051,2017-11-16 22:04:27.185,2017-11-16 22:04:27.185,26.199999,wakAfCXJCw,com.sec.android.app.shealth,a432766e-ea97-44e4-8cfe-db12a8274024,1508544000000,
,,5a21218d-358d-4d56-a5bf-514fe5d5292c.extra_data.json,0.0,379523,1608.9425,2018-01-24 15:04:14.323,2018-01-23 15:00:01.764,19.32,wakAfCXJCw,com.sec.android.app.shealth,5a21218d-358d-4d56-a5bf-514fe5d5292c,1516752000000,
,,8aa15c3f-5f8e-4ed1-9551-f2c16f7cb503.extra_data.json,0.0,273470,1610.9259,2018-01-25 15:00:15.443,2018-01-24 15:04:13.929,14.019999,wakAfCXJCw,com.sec.android.app.shealth,8aa15c3f-5f8e-4ed1-9551-f2c16f7cb503,1516838400000,
,,63bbeb84-de08-4b0e-952c-17a62ca8ee08.extra_data.json,0.0,111789,1613.9501,2018-01-30 15:04:01.828,2018-01-29 15:04:02.812,5.7,wakAfCXJCw,com.sec.android.app.shealth,63bbeb84-de08-4b0e-952c-17a62ca8ee08,1517270400000,
,,23be6718-8f6c-4eb1-9389-b3d30f3a50a4.extra_data.json,0.0,2992109,1560.0759,2018-01-03 16:09:27.875,2018-01-02 15:02:23.937,147.5,wakAfCXJCw,com.sec.android.app.shealth,23be6718-8f6c-4eb1-9389-b3d30f3a50a4,1514937600000,
,,a023f7b4-cc68-4229-b91a-7e8766988c66.extra_data.json,0.0,799995,1606.7021,2017-11-16 22:04:27.590,2017-11-16 22:04:27.590,44.489994,wakAfCXJCw,com.sec.android.app.shealth,a023f7b4-cc68-4229-b91a-7e8766988c66,1509062400000,
