com.samsung.shealth.tracker.pedometer_day_summary,6200039,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
5730,04d7a503-c7e1-47c5-b547-bb365f20668f.binning_data.json,3581151,6000,1,2016-02-12 15:01:21.669,com.sec.android.app.shealth,2016-02-12 03:01:18.581,,3.25,4002.62,179.22,5729,wakAfCXJCw,com.sec.android.app.shealth,1122,04d7a503-c7e1-47c5-b547-bb365f20668f.achievement.json,04d7a503-c7e1-47c5-b547-bb365f20668f,1455235200000,
7927,8e86f2ff-783d-443f-ab1b-ce7adcb9f250.binning_data.json,4842130,6000,7,2016-02-29 15:00:22.304,com.sec.android.app.shealth,2016-02-29 03:00:18.001,,2.9722226,5580.41,253.42,7920,wakAfCXJCw,com.sec.android.app.shealth,1029,8e86f2ff-783d-443f-ab1b-ce7adcb9f250.achievement.json,8e86f2ff-783d-443f-ab1b-ce7adcb9f250,1456704000000,
412,dace119f-193c-45e8-9687-f4e863680f0c.binning_data.json,232165,6000,2,2016-01-11 15:00:46.768,com.sec.android.app.shealth,2016-01-11 15:00:46.768,,3.3611112,302.9,15.5,410,wakAfCXJCw,com.sec.android.app.shealth,0,dace119f-193c-45e8-9687-f4e863680f0c.achievement.json,dace119f-193c-45e8-9687-f4e863680f0c,1452470400000,
10047,f2ef5d47-0bf4-4526-a497-619afe6ed44a.binning_data.json,6246225,6000,4,2016-02-04 15:00:23.447,com.sec.android.app.shealth,2016-02-04 15:00:23.447,,2.111111,7015.68,318.76,10043,wakAfCXJCw,com.sec.android.app.shealth,1373,f2ef5d47-0bf4-4526-a497-619afe6ed44a.achievement.json,f2ef5d47-0bf4-4526-a497-619afe6ed44a,1454544000000,
2937,fdb95b40-291e-4a4d-9d17-e4fbeac16967.binning_data.json,1511900,6000,16,2016-02-06 15:00:33.404,com.sec.android.app.shealth,2016-02-06 15:00:33.404,,3.0256248,2175.65,95.14,2921,wakAfCXJCw,com.sec.android.app.shealth,0,fdb95b40-291e-4a4d-9d17-e4fbeac16967.achievement.json,fdb95b40-291e-4a4d-9d17-e4fbeac16967,1454716800000,
13944,8807c664-b3fb-4dff-83b2-ecdbaebb90f1.binning_data.json,8270744,6000,47,2016-02-11 15:01:16.213,com.sec.android.app.shealth,2016-02-11 03:01:15.674,,3.4444442,9945.74,450.15,13897,wakAfCXJCw,com.sec.android.app.shealth,3051,8807c664-b3fb-4dff-83b2-ecdbaebb90f1.achievement.json,8807c664-b3fb-4dff-83b2-ecdbaebb90f1,1455148800000,
3133,ebee9b74-0318-4d20-bc69-4c4acec0e9e2.binning_data.json,1446171,6000,45,2016-02-24 15:00:10.941,com.sec.android.app.shealth,2016-02-19 03:01:41.909,,3.1944444,2449.78,120.51,3088,wakAfCXJCw,com.sec.android.app.shealth,0,ebee9b74-0318-4d20-bc69-4c4acec0e9e2.achievement.json,ebee9b74-0318-4d20-bc69-4c4acec0e9e2,1455840000000,
6711,281cdd7a-0650-4953-bb43-9b80f8d0b535.binning_data.json,3005967,6000,62,2016-02-13 15:01:26.768,com.sec.android.app.shealth,2016-02-13 03:00:49.680,,2.8333333,5074.7397,226.18,6649,wakAfCXJCw,com.sec.android.app.shealth,0,281cdd7a-0650-4953-bb43-9b80f8d0b535.achievement.json,281cdd7a-0650-4953-bb43-9b80f8d0b535,1455321600000,
1959,0e53dfdb-a871-4633-8b96-b068307ba67e.binning_data.json,1026318,6000,6,2016-01-17 15:00:38.209,com.sec.android.app.shealth,2016-01-17 15:00:38.209,,2.0277777,1440.52,65.38,1953,wakAfCXJCw,com.sec.android.app.shealth,0,0e53dfdb-a871-4633-8b96-b068307ba67e.achievement.json,0e53dfdb-a871-4633-8b96-b068307ba67e,1452988800000,
5176,f535924d-60f4-4dc8-ab56-878c99113a68.binning_data.json,3116171,6000,0,2016-03-06 15:00:30.467,com.sec.android.app.shealth,2016-03-06 03:00:03.449,,6.9444447,3441.71,199.16,5176,wakAfCXJCw,com.sec.android.app.shealth,0,f535924d-60f4-4dc8-ab56-878c99113a68.achievement.json,f535924d-60f4-4dc8-ab56-878c99113a68,1457222400000,
