,update_time,start_date,start_time,source_type,count,speed,distance,calorie
113,2021-08-11 15:00:02.820,2021-08-11 ,15:00:02.820,25,5981,0.33036897,4618.5576,210.51404
114,2021-08-12 13:30:08.261,2021-08-11 ,21:49:43.922,-2,7116,0.36409763,5489.6084,249.33504

115,2021-08-12 15:00:01.430,2021-08-12 ,15:00:01.430,0,2033,1.3889301,1550.85,70.59
116,2021-08-12 15:00:03.408,2021-08-12 ,15:00:03.408,25,6505,0.3117556,5031.7354,228.51923
117,2021-08-13 12:56:02.569,2021-08-12 ,18:18:03.123,-2,5959,0.3374826,4610.8643,209.10208

118,2021-08-13 15:00:02.252,2021-08-13 ,15:00:02.252,0,1014,1.3724835,774.49,36.5

121,2021-08-14 15:00:01.454,2021-08-14 ,15:00:01.454,0,986,1.3206444,745.77997,34.89

122,2021-08-15 14:26:02.681,2021-08-15 ,00:01:44.350,-2,2549,0.33950686,1925.4807,93.37813
123,2021-08-15 15:00:02.174,2021-08-15 ,15:00:02.174,0,1357,1.2373316,1003.64996,52.059998
124,2021-08-15 15:00:04.513,2021-08-15 ,15:00:04.513,25,1880,0.24072428,1444.3457,66.089966
125,2021-08-16 13:25:04.083,2021-08-15 ,15:30:40.749,-2,8431,0.40749046,6463.7393,304.70526

126,2021-08-16 15:00:01.284,2021-08-16 ,15:00:01.284,0,2756,1.2794605,2047.22,105.52998
127,2021-08-16 15:00:02.622,2021-08-16 ,15:00:02.622,25,7564,0.347964,5845.7954,267.19363
128,2021-08-17 14:35:03.407,2021-08-16 ,15:17:01.828,-2,6806,0.39959836,5234.049,239.95918

129,2021-08-17 15:00:31.001,2021-08-17 ,15:00:31.001,0,2441,1.3495655,1842.4701,87.56999
130,2021-08-17 15:00:33.978,2021-08-17 ,15:00:33.978,25,5736,0.32867655,4437.134,201.17712
131,2021-08-18 12:15:02.016,2021-08-17 ,20:21:02.530,-2,8259,0.5535167,6297.085,296.16824

132,2021-08-18 15:00:01.637,2021-08-18 ,15:00:01.637,0,5284,1.3193752,3966.8,193.43
133,2021-08-18 15:00:03.154,2021-08-18 ,15:00:03.154,25,5984,0.36455184,4637.0996,210.17828

134,2021-08-19 13:42:57.198,2021-08-19 ,00:19:28.974,-2,4750,0.5371349,3597.7354,171.00838
135,2021-08-19 15:00:01.216,2021-08-19 ,15:00:01.216,0,3226,1.2711347,2405.1099,118.469986
136,2021-08-19 15:00:02.439,2021-08-19 ,15:00:02.439,25,3805,0.38306946,2918.9893,134.07379
137,2021-08-20 14:10:03.034,2021-08-19 ,21:09:44.789,-2,7079,0.41015863,5370.9653,256.4065

138,2021-08-20 15:00:02.279,2021-08-20 ,15:00:02.279,0,3096,1.2814145,2278.96,117.649994
139,2021-08-20 15:00:04.043,2021-08-20 ,15:00:04.043,25,6089,0.32033443,4689.6963,214.17685
140,2021-08-21 13:49:02.790,2021-08-20 ,21:16:02.284,-2,6319,0.5354643,4805.0693,230.50787

141,2021-08-21 15:00:01.185,2021-08-21 ,15:00:01.185,0,4758,1.3500515,3584.45,176.44998
142,2021-08-21 15:00:02.612,2021-08-21 ,15:00:02.612,25,4939,0.32616147,3816.0889,174.49615
143,2021-08-23 16:21:43.452,2021-08-21 ,23:07:31.577,-2,9084,0.61186975,6866.2847,336.7095

144,2021-08-22 15:30:45.419,2021-08-22 ,15:30:45.419,0,6668,1.247556,4986.15,256.07
