com.samsung.shealth.activity.day_summary,6196009,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
3446,2229601,90,0,2021-07-30 21:57:03.733,2021-07-21 15:00:00.526,60,120000,41,2624.2249,121.6447,0aa4868b-5e7f-425f-9b55-02d2a5220041.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,2229601,25500000,0aa4868b-5e7f-425f-9b55-02d2a5220041,1626912000000,
1931,1282607,90,0,2021-07-30 21:57:02.486,2021-07-05 16:02:57.952,60,60000,23,1447.9097,73.45999,85c0e46b-ba4d-472d-92c4-3744e91e947d.extra_data.json,OvMFo+Qpk+,8000,com.sec.android.app.shealth,1274607,31140000,85c0e46b-ba4d-472d-92c4-3744e91e947d,1625529600000,
3763,2330606,90,0,2021-07-30 21:57:04.159,2021-07-26 15:00:00.361,60,300000,42,2816.8452,139.80305,e892a947-92ff-4dae-97a8-46c6aeb41502.extra_data.json,OvMFo+Qpk+,11200,com.sec.android.app.shealth,2319406,27660000,e892a947-92ff-4dae-97a8-46c6aeb41502,1627344000000,
4075,2698682,90,0,2021-07-30 21:57:03.971,2021-07-24 15:00:00.731,60,120000,48,3128.3706,146.13223,164329bb-8149-4323-8137-ff432f397e3b.extra_data.json,OvMFo+Qpk+,42995,com.sec.android.app.shealth,2655687,22500000,164329bb-8149-4323-8137-ff432f397e3b,1627171200000,
4161,2813198,90,0,2021-07-30 21:57:04.245,2021-07-27 15:00:00.600,60,1331000,51,3072.095,145.86417,bde236b9-c294-42e7-89e5-f7a7429d0008.extra_data.json,OvMFo+Qpk+,6000,com.sec.android.app.shealth,2807198,22200000,bde236b9-c294-42e7-89e5-f7a7429d0008,1627430400000,
5016,4126726,90,894000,2021-08-02 14:06:27.802,2021-08-01 15:00:00.827,-1,894000,74,3793.174,243.30585,5681a670-303e-4868-9d0c-760d79cf2adb.extra_data.json,OvMFo+Qpk+,59200,com.sec.android.app.shealth,3173526,15480000,5681a670-303e-4868-9d0c-760d79cf2adb,1627862400000,
3450,2295246,90,0,2021-07-31 14:30:02.373,2021-07-30 15:00:00.524,60,120000,42,2618.7922,127.15501,2c333408-c3d2-40de-8b62-424649d766f6.extra_data.json,OvMFo+Qpk+,8800,com.sec.android.app.shealth,2286446,22380000,2c333408-c3d2-40de-8b62-424649d766f6,1627689600000,
3925,2452716,90,0,2021-07-30 21:57:03.004,2021-07-11 15:00:00.701,60,480000,44,2937.8335,146.46945,826c6314-f97d-408b-835d-2beb48f0aad5.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,2452716,23640000,826c6314-f97d-408b-835d-2beb48f0aad5,1626048000000,
1240,707859,90,0,2021-07-30 21:57:03.330,2021-07-16 15:00:00.553,60,46023,12,818.116,38.310352,e84fd88d-ef9e-45a6-ad56-967a0b837a2e.extra_data.json,OvMFo+Qpk+,10000,com.sec.android.app.shealth,697859,38220000,e84fd88d-ef9e-45a6-ad56-967a0b837a2e,1626480000000,
6642,4279447,90,0,2021-08-03 14:52:02.376,2021-08-02 15:32:14.720,-1,240000,77,5071.623,246.32668,94dde481-34c1-4572-a9c3-78eef9cb9006.extra_data.json,OvMFo+Qpk+,39117,com.sec.android.app.shealth,4240330,25020000,94dde481-34c1-4572-a9c3-78eef9cb9006,1627948800000,
7677,4944036,90,0,2021-08-09 13:59:04.355,2021-08-08 15:00:03.943,-1,580000,91,5563.822,288.051,79ddf969-292e-46fa-9a36-2b7baed1d24d.extra_data.json,OvMFo+Qpk+,603200,com.sec.android.app.shealth,4340836,25200000,79ddf969-292e-46fa-9a36-2b7baed1d24d,1628467200000,
4095,2634480,90,0,2021-08-06 14:37:28.815,2021-08-05 15:14:32.367,-1,120000,47,3083.7021,152.14891,68c5ad28-a017-4a9c-9103-056fa451ba44.extra_data.json,OvMFo+Qpk+,6800,com.sec.android.app.shealth,2627680,17040000,68c5ad28-a017-4a9c-9103-056fa451ba44,1628208000000,
1722,1136372,90,0,2021-07-30 21:57:03.125,2021-07-13 16:41:13.779,60,60000,20,1303.7963,62.94302,e36ce72b-b64b-4f7f-984b-1f951a4b81a1.extra_data.json,OvMFo+Qpk+,5200,com.sec.android.app.shealth,1131172,29220000,e36ce72b-b64b-4f7f-984b-1f951a4b81a1,1626220800000,
5982,3874107,90,0,2021-07-30 21:57:03.420,2021-07-17 15:00:00.394,60,180000,71,4506.9126,220.13174,f93d7fe5-8e4d-465a-be05-75e123ad8c87.extra_data.json,OvMFo+Qpk+,5200,com.sec.android.app.shealth,3868907,24720000,f93d7fe5-8e4d-465a-be05-75e123ad8c87,1626566400000,
2581,1686056,90,0,2021-07-30 21:57:03.801,2021-07-22 15:05:37.455,60,180000,31,1934.3544,94.98148,140f181c-46f8-44bd-a837-ee2f2a26f486.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,1686056,31440000,140f181c-46f8-44bd-a837-ee2f2a26f486,1626998400000,
6630,4243125,90,0,2021-08-08 15:00:04.099,2021-08-08 15:00:04.099,-1,420000,76,5011.5156,246.15695,fa7bf5a1-bc36-4f98-b997-cbe9332ddf2e.extra_data.json,OvMFo+Qpk+,165200,com.sec.android.app.shealth,4077925,15960000,fa7bf5a1-bc36-4f98-b997-cbe9332ddf2e,1628380800000,
7116,4660186,90,0,2021-08-12 13:30:07.711,2021-08-11 15:00:00.492,-1,120000,85,5489.6084,249.33502,110f7b29-2df4-482a-8400-ddb9e75ab6a8.extra_data.json,OvMFo+Qpk+,12800,com.sec.android.app.shealth,4647386,24540000,110f7b29-2df4-482a-8400-ddb9e75ab6a8,1628726400000,
5135,3492885,90,0,2021-07-30 21:57:04.326,2021-07-28 15:00:00.442,60,874000,63,3879.566,186.09181,707186de-a87e-4cd7-809c-d8fe8306c3e9.extra_data.json,OvMFo+Qpk+,27600,com.sec.android.app.shealth,3465285,29940000,707186de-a87e-4cd7-809c-d8fe8306c3e9,1627516800000,
2402,1587449,90,0,2021-07-30 21:57:03.561,2021-07-19 15:00:00.283,60,51888,28,1813.6945,91.44547,e4f3a8db-95d2-4ce4-a5c5-b311a9f2e9bf.extra_data.json,OvMFo+Qpk+,22000,com.sec.android.app.shealth,1565449,16980000,e4f3a8db-95d2-4ce4-a5c5-b311a9f2e9bf,1626739200000,
986,624859,90,0,2021-08-14 12:47:03.502,2021-08-13 15:00:00.451,-1,120000,11,745.78,34.890003,f2f10c97-4250-4f48-a5de-cdf49fe04487.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,624859,36840000,f2f10c97-4250-4f48-a5de-cdf49fe04487,1628899200000,
3203,2287963,90,0,2021-07-30 21:57:03.874,2021-07-23 15:00:00.510,60,929000,41,2438.1458,117.843185,bf87b1ca-02f8-4176-905b-11c55358564c.extra_data.json,OvMFo+Qpk+,18500,com.sec.android.app.shealth,2269463,35040000,bf87b1ca-02f8-4176-905b-11c55358564c,1627084800000,
8259,5434368,90,0,2021-08-18 12:15:02.140,2021-08-17 15:00:19.527,-1,180000,100,6297.0845,296.16827,098acda6-b374-4c41-9f24-244793a0cfaa.extra_data.json,OvMFo+Qpk+,9200,com.sec.android.app.shealth,5425168,18360000,098acda6-b374-4c41-9f24-244793a0cfaa,1629244800000,
6795,4557996,90,985000,2021-07-30 21:57:04.068,2021-07-25 15:00:00.329,60,985000,83,4175.3105,275.35153,197fba21-d74e-49d4-945f-b75ffd75664e.extra_data.json,OvMFo+Qpk+,8000,com.sec.android.app.shealth,3564996,27180000,197fba21-d74e-49d4-945f-b75ffd75664e,1627257600000,
3029,1924231,90,0,2021-08-25 03:35:36.881,2021-08-23 16:21:37.098,-1,360000,35,2308.4521,107.35462,d90fcaec-07c4-4053-ba6f-6e895b3e921e.extra_data.json,OvMFo+Qpk+,1600,com.sec.android.app.shealth,1922631,21900000,d90fcaec-07c4-4053-ba6f-6e895b3e921e,1629763200000,
2549,1699382,90,0,2021-08-15 14:26:02.140,2021-08-14 15:00:00.625,-1,51359,31,1925.4808,93.37813,e004ed04-6b89-4b3b-b8c7-df05bbe89d4c.extra_data.json,OvMFo+Qpk+,1200,com.sec.android.app.shealth,1698182,32460000,e004ed04-6b89-4b3b-b8c7-df05bbe89d4c,1628985600000,
12317,7815348,90,0,2021-08-05 02:04:48.520,2021-08-03 15:00:00.326,-1,795000,143,9309.769,455.9894,915a5dbb-b57c-44c2-802c-0f6bd499ae90.extra_data.json,OvMFo+Qpk+,28400,com.sec.android.app.shealth,7786948,10140000,915a5dbb-b57c-44c2-802c-0f6bd499ae90,1628035200000,
10412,6643059,90,0,2021-08-01 13:48:01.730,2021-07-31 15:43:40.128,-1,420000,122,7872.639,389.70288,2e085f4b-9351-4d8e-97b1-29a7aacd812b.extra_data.json,OvMFo+Qpk+,40347,com.sec.android.app.shealth,6602712,23400000,2e085f4b-9351-4d8e-97b1-29a7aacd812b,1627776000000,
7079,4677118,90,0,2021-08-20 14:10:02.473,2021-08-19 15:00:00.658,-1,180000,85,5370.9634,256.40652,ee69d5a1-e5e4-4bd4-9fce-0e43da14b364.extra_data.json,OvMFo+Qpk+,5600,com.sec.android.app.shealth,4671518,22140000,ee69d5a1-e5e4-4bd4-9fce-0e43da14b364,1629417600000,
6214,3957309,90,0,2021-09-01 04:48:13.718,2021-08-30 15:00:00.547,-1,660000,72,4717.764,232.4341,11766dcd-1c51-490f-9c9e-c56a617190a1.extra_data.json,OvMFo+Qpk+,18000,com.sec.android.app.shealth,3939309,31320000,11766dcd-1c51-490f-9c9e-c56a617190a1,1630368000000,
6477,4249626,90,0,2021-08-11 14:45:03.329,2021-08-10 15:00:00.501,-1,180000,77,4990.64,228.22636,a45ff369-adfc-445d-938b-7aeb275c6ab5.extra_data.json,OvMFo+Qpk+,15600,com.sec.android.app.shealth,4234026,25920000,a45ff369-adfc-445d-938b-7aeb275c6ab5,1628640000000,
