Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-11-13 ,8 hours 8 min,5 hours 15 min,21:00:06,23:51:06,22,Yes,2 hours 53 min
2021-11-14 ,9 hours 45 min,6 hours 38 min,21:01:53,23:54:53,19,Yes,3 hours 7 min
2021-11-15 ,10 hours 43 min,7 hours 40 min,21:03:07,23:50:07,20,Yes,3 hours 3 min
2021-11-16 ,11 hours 15 min,9 hours 11 min,21:04:24,23:51:24,24,Yes,2 hours 4 min
2021-11-18 ,9 hours 58 min,7 hours 17 min,21:14:34,23:33:34,19,Yes,2 hours 41 min
2021-11-19 ,8 hours 51 min,7 hours 32 min,21:01:05,23:07:05,19,Yes,1 hours 19 min
2021-11-20 ,7 hours 59 min,4 hours 58 min,21:02:31,23:58:31,15,Yes,3 hours 1 min
2021-11-21 ,9 hours 14 min,0 hours 9 min,00:00:31,08:51:43,1,Yes,9 hours 5 min
2021-11-23 ,4 hours 55 min,1 hours 34 min,04:03:21,07:48:21,13,Yes,3 hours 21 min
2021-11-24 ,7 hours 10 min,5 hours 13 min,21:19:43,23:51:11,17,Yes,1 hours 57 min
2021-11-25 ,9 hours 15 min,8 hours 1 min,21:12:34,22:26:34,21,Yes,1 hours 14 min
2021-11-26 ,3 hours 29 min,3 hours 29 min,,,11,No,0 hours 0 min
2021-11-28 ,8 hours 40 min,8 hours 27 min,08:47:56,08:53:56,17,Yes,0 hours 13 min
