com.samsung.shealth.food_favorite,6170019,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
1.0,3,2021-07-08 02:57:02.105,2021-07-08 02:57:02.105,남도떡갈비구이*새싹,120001,a7ec353e-1cb0-48a8-8c4e-60495f738b25,215.0,V57RQzDK0T,com.sec.android.app.shealth,c9863912-e204-443a-ad65-dc67db1d29f2,da8000c4-b7d9-4c4a-bf5d-108b49ee2362,
0.0,2,2021-07-14 05:41:16.542,2021-07-14 05:41:16.542,eb841608-6e3e-457e-9040-22fa1d743b49,,eb841608-6e3e-457e-9040-22fa1d743b49,0.0,V57RQzDK0T,com.sec.android.app.shealth,b709e3ac-02b6-4915-baf9-d085251b4357,d12af88c-28ec-4e6b-a10c-02a32953de91,
1.0,3,2021-07-19 03:00:11.254,2021-07-19 03:00:11.254,불어묵메추리알조림,120001,ab3015b1-2e04-4663-b207-b5b7b9ed6dc9,127.0,V57RQzDK0T,com.sec.android.app.shealth,0da437ae-311a-43ea-a7cf-d1c627bf7f66,273c43c4-e3f2-4c58-9548-52f791f452e1,
1.0,3,2021-07-19 02:54:53.805,2021-07-19 02:54:53.805,쌀밥/누룽지,120001,95bb3471-66c6-4f1a-aeba-6b7f5b846077,300.0,V57RQzDK0T,com.sec.android.app.shealth,47372458-75ac-4cc7-8a17-dd92450d90b8,43c9586e-d9fd-44c1-9aca-c0e6d3339a05,
1.0,3,2021-07-19 02:55:21.746,2021-07-19 02:55:21.746,옹심이감자국,120001,56286a40-0663-4585-ad9c-bc170a5b2f32,266.0,V57RQzDK0T,com.sec.android.app.shealth,811a0709-9cc8-4495-9adb-d6f86260a970,38cf52fd-6f5c-493c-a2ae-21b9a5dc1383,
0.0,2,2021-07-08 03:01:02.024,2021-07-08 03:01:02.024,856f14c2-dd02-445e-8a9f-af064806ea6a,,856f14c2-dd02-445e-8a9f-af064806ea6a,0.0,V57RQzDK0T,com.sec.android.app.shealth,a949d336-e507-4d55-b46a-73528c57b74e,da8000c4-b7d9-4c4a-bf5d-108b49ee2362,
1.0,3,2021-07-19 03:00:28.930,2021-07-19 03:00:28.930,탕평채,120001,13af0afb-3e01-44b9-83bf-339de0cc3fc9,78.0,V57RQzDK0T,com.sec.android.app.shealth,47b53d67-b8da-410e-80bd-ee115c72f550,520f3df2-55ed-4daa-9818-65c70c56ff40,
1.0,3,2021-07-19 02:59:13.302,2021-07-19 02:59:13.302,언양식바싹불고기,120001,abb4dd1d-9892-4ec4-8719-81afd14e512e,245.0,V57RQzDK0T,com.sec.android.app.shealth,bd4ba544-17f6-4d7d-acb9-79c2f156b836,5eac8fe9-4d46-4efe-adb0-dc392bc72696,
0.0,2,2021-07-08 03:01:02.023,2021-07-08 03:01:02.023,856f14c2-dd02-445e-8a9f-af064806ea6a,,856f14c2-dd02-445e-8a9f-af064806ea6a,0.0,V57RQzDK0T,com.sec.android.app.shealth,1f64b69a-f2b7-4980-b5a8-45203bb8eece,c3dcb7d6-dbee-41ad-a280-bb9c02b5b38c,
0.0,2,2021-07-08 12:07:39.625,2021-07-08 12:07:39.625,231d4b10-4455-4869-aaf4-e43dc6b05fc4,,231d4b10-4455-4869-aaf4-e43dc6b05fc4,0.0,V57RQzDK0T,com.sec.android.app.shealth,2b848a91-8df4-4eb1-860c-1ea98d2dbe53,e538f267-2f7a-4b2f-af84-aa9c955d5d9e,
