com.samsung.shealth.rewards,6196009,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-08-08 15:00:00.000,,10009,,2021-08-14 15:00:03.277,2021-08-09 15:36:00.083,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6311}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-08 15:00:00.000,11a7cdf0-db86-494c-8f35-99e55606802c,1,
,2021-09-19 15:00:00.000,,2599999,,2021-09-25 15:00:08.027,2021-09-20 15:13:53.998,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":13819}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-09-19 15:00:00.000,3d5e2a67-06b5-462a-a6ac-d20b9be0740e,1,
,2021-09-19 15:00:00.000,,2599999,,2021-09-20 15:13:54.007,2021-09-20 15:13:54.007,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":13819}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-09-19 15:00:00.000,e76808b2-759c-4ca1-a22a-52f89e4c8779,1,
,2021-08-20 15:00:00.000,,100003,,2021-09-11 14:55:41.188,2021-08-21 07:55:53.990,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6319}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-20 15:00:00.000,87884a8e-606b-4b1a-bdaa-0c045941472f,1,
,2021-10-05 15:00:00.000,,100003,,2021-10-25 14:56:00.316,2021-10-06 08:47:03.591,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8078}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-10-05 15:00:00.000,fa469796-5e0e-46ae-95a6-a88ac9bedba5,1,
,2021-08-15 15:00:00.000,,2599999,,2021-08-21 15:00:04.746,2021-08-16 15:00:02.507,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7564}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-15 15:00:00.000,0523b915-04fe-40f5-ac5f-9e5c7d940543,1,
1201,,1002,,bccacf00-a6ff-86f6-5847-3dd6bf329c4a,2021-08-08 02:05:10.159,2021-08-08 02:05:10.159,,,1201,UTC+0900,2.852546,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2021-08-08 02:05:06.000,b2af6709-6d4e-426f-9f9d-362b69b210a3,1,
1200,,1002,,0fb71917-dea2-bccd-00fd-3be3cd6d82af,2021-10-12 04:51:51.753,2021-10-12 04:51:51.753,,,1200,UTC+0900,1640.5813,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-10-12 01:45:05.000,dfd8f9c6-d78e-401e-96b9-5094f01c5fee,1,
,2021-10-05 15:00:00.000,,10009,,2021-10-11 15:07:19.257,2021-10-06 15:00:01.590,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6577}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-10-05 15:00:00.000,9319df11-fd16-483b-b789-63788811d0d4,1,
,2021-08-21 15:00:00.000,,100003,,2021-09-11 14:55:41.088,2021-08-22 09:35:07.201,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":9084}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-21 15:00:00.000,394dcfbf-a901-4916-b902-ebe2cd07f020,1,
,2021-08-30 15:00:00.000,,100003,,2021-09-11 14:55:40.638,2021-08-31 13:16:33.180,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6214}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-30 15:00:00.000,b6f21c7d-762c-4cee-9cd7-a707b2381b7a,1,
,2021-10-11 15:00:00.000,,100003,,2021-10-12 15:32:32.342,2021-10-12 15:32:32.342,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10075}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-10-11 15:00:00.000,786b3b9d-38a8-4de0-ad59-588a9d256ce8,1,
1202,,1002,,0fb71917-dea2-bccd-00fd-3be3cd6d82af,2021-10-12 04:51:51.784,2021-10-12 04:51:51.784,,,1202,UTC+0900,1.0712571,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2021-10-12 01:45:05.000,c21ab84b-6bff-41b6-94bc-f1052e56c456,1,
1200,,1001,,83f64793-321c-4b5c-bf6d-db8c34105f7f,2021-09-04 04:35:43.888,2021-09-04 04:35:43.888,,,1200,UTC+0900,1725.68,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-09-04 04:35:43.830,dd37b45c-114f-4d03-b240-2d3e0b01f9a1,1,
,2021-08-31 15:00:00.000,,100003,,2021-09-11 14:55:40.598,2021-09-01 10:50:47.309,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7372}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-31 15:00:00.000,0a0a66aa-b489-4bbd-b695-d493e6feff33,1,
1205,,1001,,88623b95-aa67-e9e5-743e-d2dec8728422,2021-11-19 00:54:10.702,2021-11-19 00:54:10.702,,,1205,UTC+0900,36.495895,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2021-11-19 00:53:55.000,c5665552-1406-4662-99bd-056daad28bb7,1,
,2021-10-11 15:00:00.000,,2599999,,2021-10-17 15:33:44.477,2021-10-12 15:32:32.676,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8369}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-10-11 15:00:00.000,c72906dc-998d-45f6-995e-c4dd9cdc00bf,1,
1203,,1001,,83f64793-321c-4b5c-bf6d-db8c34105f7f,2021-11-19 00:54:10.617,2021-09-04 04:35:43.890,,,1203,UTC+0900,557880,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-09-04 04:35:43.830,9c1fe3ec-a336-4fa8-bf33-02d061a145d5,0,
,2021-09-19 15:00:00.000,,100003,,2021-10-14 15:19:24.153,2021-09-20 03:00:02.171,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":15393}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-09-19 15:00:00.000,7ae7bef0-0a99-4d18-97a5-e37bf38544b8,1,
,2021-11-14 23:54:00.000,,,,2021-11-28 12:16:08.085,2021-11-28 12:16:08.085,,,goal_sleep_TYPE_GOAL_DAILY_BED_TIME,UTC+0900,20,OvMFo+Qpk+,com.sec.android.app.shealth,Sleep.Goal,2021-11-14 14:09:00.000,d95520ad-2edb-4313-ae4c-b9856753c13a,0,
,2021-11-25 22:27:00.000,,,,2021-11-28 12:16:08.084,2021-11-28 12:16:08.084,,,goal_sleep_TYPE_GOAL_DAILY_WAKEUP_TIME,UTC+0900,11,OvMFo+Qpk+,com.sec.android.app.shealth,Sleep.Goal,2021-11-25 13:17:00.000,cc42d147-ee9e-452e-a237-7a1768e70c33,1,
1200,,1002,,7616a5a1-b3e5-9fbd-027c-08348fbd4e3b,2021-10-12 04:51:51.551,2021-08-09 07:42:39.492,,,1200,UTC+0900,577.3571,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-08-09 07:42:37.000,065a89d4-60ca-41bb-bc7f-2c87eae7379f,0,
,2021-09-19 15:00:00.000,,100003,,2021-09-20 13:16:29.556,2021-09-20 09:53:30.199,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":15393}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-09-19 15:00:00.000,239d2549-33bb-4e97-8d1c-06d6c5b8c61b,1,
,2021-10-26 21:45:00.000,,,,2021-11-28 12:16:08.087,2021-11-28 12:16:08.087,,,goal_sleep_TYPE_GOAL_GOOD_TIME_KEEPING,UTC+0900,8,OvMFo+Qpk+,com.sec.android.app.shealth,Sleep.Goal,2021-10-26 13:42:00.000,cfc4975c-737c-402e-890e-b4e6e51052d6,0,
,2021-11-09 23:55:00.000,,,,2021-11-28 12:16:08.085,2021-11-28 12:16:08.085,,,goal_sleep_TYPE_GOAL_DAILY_BED_TIME,UTC+0900,19,OvMFo+Qpk+,com.sec.android.app.shealth,Sleep.Goal,2021-11-09 13:47:00.000,713f8e2e-ef33-461f-8130-0bcf13ef2653,0,
,2021-09-21 15:00:00.000,,100003,,2021-10-14 15:19:24.087,2021-09-22 08:30:23.306,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7265}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-09-21 15:00:00.000,66fc1b93-2953-406e-a6fb-8ac8460b1009,1,
,2021-09-22 15:00:00.000,,100003,,2021-10-14 15:19:24.006,2021-09-23 11:25:01.060,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6280}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-09-22 15:00:00.000,7ca0cbbb-572c-4e3f-b900-6779620b760e,1,
,2021-10-06 22:15:00.000,,,,2021-11-28 12:16:08.088,2021-11-28 12:16:08.088,,,goal_sleep_TYPE_GOAL_DAILY_WAKEUP_TIME,UTC+0900,8,OvMFo+Qpk+,com.sec.android.app.shealth,Sleep.Goal,2021-10-06 15:25:00.000,3ab6031c-23f9-441f-a11a-00be10e1328e,0,
,2021-10-04 15:00:00.000,,2599999,,2021-10-10 15:08:53.816,2021-10-06 15:00:02.899,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6175}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-10-04 15:00:00.000,06c84d7c-6f25-4dbe-935c-4dd65d1d47f9,1,
,2021-10-23 22:14:00.000,,,,2021-11-28 12:16:08.087,2021-11-28 12:16:08.087,,,goal_sleep_TYPE_GOAL_DAILY_WAKEUP_TIME,UTC+0900,9,OvMFo+Qpk+,com.sec.android.app.shealth,Sleep.Goal,2021-10-23 14:49:00.000,1169e462-6bde-4c73-8dbc-cc74eb7b6836,0,
,2021-10-06 15:00:00.000,,100003,,2021-10-25 14:56:00.294,2021-10-07 11:42:58.832,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7325}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-10-06 15:00:00.000,936ceae4-06be-4074-abfe-92234ebbd61f,1,
