com.samsung.shealth.step_daily_trend,1144003,6
speed,day_time,pkg_name,count,binning_data,source_pkg_name,source_type,calorie,deviceuuid,datauuid,distance,create_time,update_time
0.789446,1627171200000,com.sec.android.app.shealth,23,88f41628-b6fc-4233-ab4f-a7437e1ac7d5.binning_data,com.sec.android.app.shealth,0,0.892306,m5awt1XVZi,88f41628-b6fc-4233-ab4f-a7437e1ac7d5,16.270000,2021. 07. 31. 오후 4:05:14,2021. 07. 31. 오후 4:05:14,
0.920847,1627257600000,com.sec.android.app.shealth,1103,a4561980-6c82-4c3b-a73c-a14736805628.binning_data,com.sec.android.app.shealth,0,41.451167,m5awt1XVZi,a4561980-6c82-4c3b-a73c-a14736805628,696.642052,2021. 07. 31. 오후 4:05:14,2021. 07. 31. 오후 4:05:14,
1.513280,1627344000000,com.sec.android.app.shealth,3354,dee6442f-a036-4975-9357-dc11e2ebe9b2.binning_data,com.sec.android.app.shealth,0,114.562470,m5awt1XVZi,dee6442f-a036-4975-9357-dc11e2ebe9b2,2034.728158,2021. 07. 31. 오후 4:05:14,2021. 07. 31. 오후 4:05:14,
1.542849,1627430400000,com.sec.android.app.shealth,1628,d3fcd99f-5b5b-4c26-b85b-6bf25c7f7ea8.binning_data,com.sec.android.app.shealth,0,52.210094,m5awt1XVZi,d3fcd99f-5b5b-4c26-b85b-6bf25c7f7ea8,1071.447904,2021. 07. 31. 오후 4:05:14,2021. 07. 31. 오후 4:05:14,
1.464792,1627516800000,com.sec.android.app.shealth,1472,62e99602-e7ce-46b1-ac1d-2880f5e9ffae.binning_data,com.sec.android.app.shealth,0,52.965718,m5awt1XVZi,62e99602-e7ce-46b1-ac1d-2880f5e9ffae,988.297294,2021. 07. 31. 오후 4:05:15,2021. 07. 31. 오후 4:05:15,
1.712519,1627603200000,com.sec.android.app.shealth,2718,cdc3124c-5004-4432-ac93-9abc06b658ce.binning_data,com.sec.android.app.shealth,0,91.831070,m5awt1XVZi,cdc3124c-5004-4432-ac93-9abc06b658ce,1864.140001,2021. 07. 31. 오후 4:05:15,2021. 07. 31. 오후 4:05:15,
1.367952,1627689600000,com.sec.android.app.shealth,369,e3e343f0-dd8c-4998-9517-a13eedd2c0bc.binning_data,com.sec.android.app.shealth,0,12.645315,m5awt1XVZi,e3e343f0-dd8c-4998-9517-a13eedd2c0bc,224.409997,2021. 07. 31. 오후 4:05:15,2021. 07. 31. 오후 4:05:15,
0.702240,1627344000000,com.sec.android.app.shealth,3354,4b0e0e73-001e-4b78-ae27-73dc0909ecc2.binning_data,com.sec.android.app.shealth,-2,114.562470,VfS0qUERdZ,4b0e0e73-001e-4b78-ae27-73dc0909ecc2,2034.728158,2021. 07. 31. 오후 4:05:15,2021. 07. 31. 오후 4:05:15,
1.040651,1627430400000,com.sec.android.app.shealth,1628,fba4bea9-a38f-4393-8001-f692b278d511.binning_data,com.sec.android.app.shealth,-2,52.210094,VfS0qUERdZ,fba4bea9-a38f-4393-8001-f692b278d511,1071.447904,2021. 07. 31. 오후 4:05:15,2021. 07. 31. 오후 4:05:15,
0.875197,1627516800000,com.sec.android.app.shealth,1472,6ea8ae44-b36a-42d9-85be-f3e6bc5b1f51.binning_data,com.sec.android.app.shealth,-2,52.965718,VfS0qUERdZ,6ea8ae44-b36a-42d9-85be-f3e6bc5b1f51,988.297294,2021. 07. 31. 오후 4:05:15,2021. 07. 31. 오후 4:05:15,
1.080059,1627603200000,com.sec.android.app.shealth,2718,eb967aff-502d-4692-8faa-37288bba0084.binning_data,com.sec.android.app.shealth,-2,91.831070,VfS0qUERdZ,eb967aff-502d-4692-8faa-37288bba0084,1864.140001,2021. 07. 31. 오후 4:05:15,2021. 07. 31. 오후 4:05:15,
0.900244,1627689600000,com.sec.android.app.shealth,270,466743f2-43e7-43ac-8e5b-e56db74e6039.binning_data,com.sec.android.app.shealth,25,9.441132,jj7jIQhOji,466743f2-43e7-43ac-8e5b-e56db74e6039,209.264648,2021. 07. 31. 오후 4:05:21,2021. 07. 31. 오후 4:05:21,
