com.samsung.health.step_count,1144003,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
1.482890,com.sec.android.app.shealth,112,,32400000,2021. 07. 05. 오전 10:07:00,4.029135,m5awt1XVZi,,2021. 07. 05. 오전 10:08:00,16254472-0000-0000-0000-254472200000,89.130402,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.345833,com.sec.android.app.shealth,99,,32400000,2021. 07. 05. 오전 10:08:00,3.636479,m5awt1XVZi,,2021. 07. 05. 오전 10:09:00,16254472-0000-0000-0000-254472800000,78.786766,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.000842,com.sec.android.app.shealth,1,,32400000,2021. 07. 05. 오전 10:09:00,0.037971,m5awt1XVZi,,2021. 07. 05. 오전 10:10:00,16254473-0000-0000-0000-254473400000,0.002232,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.733650,com.sec.android.app.shealth,43,,32400000,2021. 07. 05. 오전 10:12:00,1.498069,m5awt1XVZi,,2021. 07. 05. 오전 10:13:00,16254475-0000-0000-0000-254475200000,25.995127,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.705580,com.sec.android.app.shealth,52,,32400000,2021. 07. 05. 오전 10:13:00,1.968816,m5awt1XVZi,,2021. 07. 05. 오전 10:14:00,16254475-0000-0000-0000-254475800000,33.496487,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.483209,com.sec.android.app.shealth,31,,32400000,2021. 07. 05. 오전 10:14:00,1.663806,m5awt1XVZi,,2021. 07. 05. 오전 10:15:00,16254476-0000-0000-0000-254476400000,23.216513,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.693094,com.sec.android.app.shealth,70,,32400000,2021. 07. 05. 오전 10:15:00,2.447550,m5awt1XVZi,,2021. 07. 05. 오전 10:16:00,16254477-0000-0000-0000-254477000000,41.134518,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.530584,com.sec.android.app.shealth,54,,32400000,2021. 07. 05. 오전 10:16:00,2.208341,m5awt1XVZi,,2021. 07. 05. 오전 10:17:00,16254477-0000-0000-0000-254477600000,32.866177,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.553142,com.sec.android.app.shealth,47,,32400000,2021. 07. 05. 오전 10:17:00,1.883707,m5awt1XVZi,,2021. 07. 05. 오전 10:18:00,16254478-0000-0000-0000-254478200000,28.611521,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.728751,com.sec.android.app.shealth,78,,32400000,2021. 07. 05. 오전 10:18:00,2.558564,m5awt1XVZi,,2021. 07. 05. 오전 10:19:00,16254478-0000-0000-0000-254478800000,43.856586,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
