com.samsung.shealth.tracker.pedometer_day_summary,1144003,5
day_time,speed,update_time,pkg_name,source_info,source_package_name,walk_step_count,binning_data,active_time,achievement,healthy_step,calorie,recommendation,datauuid,deviceuuid,distance,create_time,run_step_count,step_count
1626652800000,1.359748,2021. 07. 24. 오전 10:47:19,com.sec.android.app.shealth,,com.sec.android.app.shealth,13545,5a7d0e00-a1cd-4bc9-9a8a-2dbde171670d.binning_data,9003000,5a7d0e00-a1cd-4bc9-9a8a-2dbde171670d.achievement,0,460.933258,6000,5a7d0e00-a1cd-4bc9-9a8a-2dbde171670d,m5awt1XVZi,9017.080078,2021. 07. 24. 오전 10:47:19,0,13545,
1626739200000,1.192283,2021. 07. 24. 오전 10:47:19,com.sec.android.app.shealth,,com.sec.android.app.shealth,438,7f4bb57d-2792-4d05-a090-1b6778386d0b.binning_data,341000,7f4bb57d-2792-4d05-a090-1b6778386d0b.achievement,0,15.711185,6000,7f4bb57d-2792-4d05-a090-1b6778386d0b,m5awt1XVZi,290.029999,2021. 07. 24. 오전 10:47:19,0,438,
1626825600000,1.313770,2021. 07. 27. 오전 11:24:08,com.sec.android.app.shealth,,com.sec.android.app.shealth,61,4caa1215-cb8b-4609-8437-bff9f0e2cf44.binning_data,9827,4caa1215-cb8b-4609-8437-bff9f0e2cf44.achievement,0,0.000000,6000,4caa1215-cb8b-4609-8437-bff9f0e2cf44,VfS0qUERdZ,12.910497,2021. 07. 27. 오전 11:24:08,0,61,
1627171200000,0.789446,2021. 07. 31. 오후 4:05:09,com.sec.android.app.shealth,,com.sec.android.app.shealth,23,88c8c234-77c5-4959-b25d-5654260ef7c0.binning_data,20609,88c8c234-77c5-4959-b25d-5654260ef7c0.achievement,0,0.892306,6000,88c8c234-77c5-4959-b25d-5654260ef7c0,VfS0qUERdZ,16.270000,2021. 07. 31. 오후 4:05:09,0,23,
1627257600000,0.617915,2021. 07. 31. 오후 4:05:15,com.sec.android.app.shealth,,com.sec.android.app.shealth,1103,e706d3f5-52a5-47b0-ba87-ab8284192e6f.binning_data,1127407,e706d3f5-52a5-47b0-ba87-ab8284192e6f.achievement,0,41.451168,6000,e706d3f5-52a5-47b0-ba87-ab8284192e6f,VfS0qUERdZ,696.642029,2021. 07. 31. 오후 4:05:09,0,1103,
1627689600000,0.621744,2021. 07. 31. 오후 4:05:22,com.sec.android.app.shealth,,com.sec.android.app.shealth,454,aa933161-aa3f-40b7-90f7-7c58cf6fe730.binning_data,478789,aa933161-aa3f-40b7-90f7-7c58cf6fe730.achievement,0,15.353204,6000,aa933161-aa3f-40b7-90f7-7c58cf6fe730,VfS0qUERdZ,297.684570,2021. 07. 31. 오후 4:05:14,0,454,
1627171200000,0.789446,2021. 07. 31. 오후 4:05:14,com.sec.android.app.shealth,,com.sec.android.app.shealth,23,812191f8-b220-4697-8ce5-4be90fed928d.binning_data,20000,812191f8-b220-4697-8ce5-4be90fed928d.achievement,0,0.892306,6000,812191f8-b220-4697-8ce5-4be90fed928d,m5awt1XVZi,16.270000,2021. 07. 31. 오후 4:05:14,0,23,
1627257600000,0.920847,2021. 07. 31. 오후 4:05:14,com.sec.android.app.shealth,,com.sec.android.app.shealth,1103,fe9385c4-0f67-40b9-8952-e1e224aa45ae.binning_data,1061000,fe9385c4-0f67-40b9-8952-e1e224aa45ae.achievement,0,41.451168,6000,fe9385c4-0f67-40b9-8952-e1e224aa45ae,m5awt1XVZi,696.642029,2021. 07. 31. 오후 4:05:14,0,1103,
1627344000000,1.513280,2021. 07. 31. 오후 4:05:14,com.sec.android.app.shealth,,com.sec.android.app.shealth,3354,2354b6f3-92ac-4e82-b50b-1de5045970db.binning_data,2750000,2354b6f3-92ac-4e82-b50b-1de5045970db.achievement,0,114.562469,6000,2354b6f3-92ac-4e82-b50b-1de5045970db,m5awt1XVZi,2034.728149,2021. 07. 31. 오후 4:05:14,0,3354,
1627430400000,1.542849,2021. 07. 31. 오후 4:05:14,com.sec.android.app.shealth,,com.sec.android.app.shealth,1628,cbc9636c-11c7-4e48-baa9-28c50b9427e8.binning_data,983000,cbc9636c-11c7-4e48-baa9-28c50b9427e8.achievement,0,52.210094,6000,cbc9636c-11c7-4e48-baa9-28c50b9427e8,m5awt1XVZi,1071.447876,2021. 07. 31. 오후 4:05:14,0,1628,
