,duration,walk_step,start_date,start_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.end_time
139,,8,2021-10-27 ,05:47:00.000,0.09529826,5.7178955,0.29370117,2021-10-27 05:47:59.000
140,,14,2021-10-27 ,05:49:00.000,0.17975667,10.7854,0.49223328,2021-10-27 05:49:59.000
141,,13,2021-10-27 ,05:50:00.000,0.1723531,10.341187,0.4518814,2021-10-27 05:50:59.000
142,,17,2021-10-27 ,05:51:00.000,0.22264405,13.358643,0.5921097,2021-10-27 05:51:59.000
143,,7,2021-10-27 ,05:53:00.000,0.08640543,5.184326,0.25344086,2021-10-27 05:53:59.000
144,,6,2021-10-27 ,05:55:00.000,0.07925212,4.755127,0.20874786,2021-10-27 05:55:59.000
145,,15,2021-10-27 ,05:58:00.000,0.18516642,11.109985,0.53813934,2021-10-27 05:58:59.000
146,,6,2021-10-27 ,06:00:00.000,0.07988688,4.793213,0.20611572,2021-10-27 06:00:59.000
147,,8,2021-10-27 ,06:01:00.000,0.10767212,6.460327,0.27508545,2021-10-27 06:01:59.000
148,,11,2021-10-27 ,06:03:00.000,0.13685507,8.211304,0.38957977,2021-10-27 06:03:59.000
149,,19,2021-10-27 ,06:04:00.000,0.23743287,14.245972,0.67359924,2021-10-27 06:04:59.000
150,,3,2021-10-27 ,06:05:00.000,0.036832683,2.209961,0.10707092,2021-10-27 06:05:59.000
151,,17,2021-10-27 ,06:19:00.000,0.21022746,12.613647,0.6042633,2021-10-27 06:19:59.000
152,,11,2021-10-27 ,06:21:00.000,0.13631184,8.178711,0.39073944,2021-10-27 06:21:59.000
153,13231.0,27,2021-10-27 ,06:54:00.000,1.6408029,21.710003,0.9199998,2021-10-27 06:55:00.000
154,,21,2021-10-27 ,06:56:00.000,0.26813558,16.088135,0.7391434,2021-10-27 06:56:59.000
155,,11,2021-10-27 ,06:57:00.000,0.14880371,8.928223,0.38002014,2021-10-27 06:57:59.000
156,,55,2021-10-27 ,06:58:00.000,0.72355145,43.413086,1.9080734,2021-10-27 06:58:59.000
157,,11,2021-10-27 ,07:00:00.000,0.146993,8.81958,0.3818817,2021-10-27 07:00:59.000
158,,46,2021-10-27 ,07:01:00.000,0.60118407,36.071045,1.6055603,2021-10-27 07:01:59.000
159,,10,2021-10-27 ,07:03:00.000,0.13439737,8.063843,0.34386444,2021-10-27 07:03:59.000
160,,14,2021-10-27 ,07:06:00.000,0.17701416,10.62085,0.49359894,2021-10-27 07:06:59.000
161,,15,2021-10-27 ,07:35:00.000,0.20048015,12.028809,0.518219,2021-10-27 07:35:59.000
162,,15,2021-10-27 ,07:36:00.000,0.20202433,12.12146,0.5177765,2021-10-27 07:36:59.000
163,,11,2021-10-27 ,07:38:00.000,0.14122315,8.473389,0.3861313,2021-10-27 07:38:59.000
164,,11,2021-10-27 ,07:39:00.000,0.14194946,8.516968,0.38568115,2021-10-27 07:39:59.000
165,,35,2021-10-27 ,07:41:00.000,0.44408366,26.64502,1.2337799,2021-10-27 07:41:59.000
166,,16,2021-10-27 ,07:43:00.000,0.20431723,12.259033,0.56015015,2021-10-27 07:43:59.000
167,,14,2021-10-27 ,07:47:00.000,0.17535605,10.521362,0.5003967,2021-10-27 07:47:59.000
168,,18,2021-10-27 ,07:49:00.000,0.22060344,13.236206,0.64634705,2021-10-27 07:49:59.000
169,,7,2021-10-27 ,07:54:00.000,0.08711548,5.2269287,0.25021362,2021-10-27 07:54:59.000
170,,6,2021-10-27 ,07:58:00.000,0.07574056,4.5444336,0.21250153,2021-10-27 07:58:59.000
171,,11,2021-10-27 ,08:15:00.000,0.139563,8.373779,0.38684082,2021-10-27 08:15:59.000
172,,15,2021-10-27 ,08:18:00.000,0.19685872,11.811523,0.5213089,2021-10-27 08:18:59.000
173,,11,2021-10-27 ,08:20:00.000,0.15677491,9.406494,0.49761963,2021-10-27 08:20:59.000
