duration,version_code,run_step,walk_step,start_date,start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
,,0,2,2021-10-26 ,21:47:00.000,,,2021-10-26 22:08:00.000,2021-10-26 21:47:59.000,2,0.024641927,1.4785156,0.07128906,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-26 21:47:59.000,193dc112-9517-e1b2-e0c2-76eb65548d6e
,,0,12,2021-10-26 ,23:57:00.000,,,2021-10-27 00:00:01.000,2021-10-26 23:57:59.000,12,0.16116537,9.669922,0.41485596,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-26 23:57:59.000,8c16ad86-f03b-b932-6b5c-8fd0ea6b37c3
,,0,18,2021-10-27 ,00:06:00.000,,,2021-10-27 00:07:02.000,2021-10-27 00:06:59.000,18,0.2443685,14.662109,0.6158447,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:06:59.000,2e861aa0-455c-3673-bb3c-85c775a09233
,,0,7,2021-10-27 ,00:07:00.000,,,2021-10-27 00:08:01.000,2021-10-27 00:07:59.000,7,0.08778725,5.267235,0.24857795,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:07:59.000,d661e3b0-d69d-6158-3eed-4b2a70fbf495
,,0,13,2021-10-27 ,00:08:00.000,,,2021-10-27 00:09:44.000,2021-10-27 00:08:59.000,13,0.1619208,9.715248,0.4629122,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:08:59.000,04682399-376f-fb0b-d2f6-e228e9b4f2fe
,,0,7,2021-10-27 ,00:09:00.000,,,2021-10-27 00:10:18.000,2021-10-27 00:09:59.000,7,0.09305592,5.583355,0.24216962,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:09:59.000,668adefd-62da-72f1-911f-d7644d2684e5
,,0,7,2021-10-27 ,00:10:00.000,,,2021-10-27 00:11:00.000,2021-10-27 00:10:59.000,7,0.08752753,5.251652,0.24820495,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:10:59.000,951992df-622f-7282-1a6c-6298b49e4e88
,,0,7,2021-10-27 ,00:11:00.000,,,2021-10-27 00:12:02.000,2021-10-27 00:11:59.000,7,0.09214255,5.528553,0.2452774,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:11:59.000,7c39b254-b35d-7981-cbb7-9327528efaa6
,,0,39,2021-10-27 ,00:18:00.000,,,2021-10-27 00:19:00.000,2021-10-27 00:18:59.000,39,0.49403578,29.642147,1.3797827,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:18:59.000,0cb3f81f-4420-50cb-0ab9-ba41e9822065
,,0,72,2021-10-27 ,00:19:00.000,,,2021-10-27 00:20:00.000,2021-10-27 00:19:59.000,72,0.90668386,54.40103,2.5514402,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:19:59.000,e582eaef-ef48-bdeb-ed20-b7dceb8b12e7
