com.samsung.shealth.exercise.weather,6201005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,0,2017-01-13 02:40:39.781,36.3387,,동. 90.0,대체로 화창,0,0,AccuWeather,2017-01-13 02:40:39.787,2017-01-13 02:40:39.787,1,127.41564,29.0,54,UTC+0900,wakAfCXJCw,0ba3584b-e308-4c38-85a4-c363010c224b,com.sec.android.app.shealth,mi/h,0,5.1,1,7d60853a-208d-4212-a75b-ff5c0da7adec,
0.0,0,2017-04-29 01:35:07.687,36.36097,,남. 180.0,화창,0,0,AccuWeather,2017-04-29 01:35:07.703,2017-04-29 01:35:07.703,1,127.39662,67.0,45,UTC+0900,wakAfCXJCw,d3402a36-cda0-476e-9c61-c92040dabe20,com.sec.android.app.shealth,mi/h,0,1.4,1,3132f221-9df8-4c64-86a6-7738d69263a8,
0.0,0,2017-02-06 01:30:27.290,36.351772,,서북서. 293.0,구름과 해,0,0,AccuWeather,2017-02-06 01:30:27.296,2017-02-06 01:30:27.296,1,127.40392,31.0,58,UTC+0900,wakAfCXJCw,803e5389-3f12-4be3-870f-1cd4a8b7d0ff,com.sec.android.app.shealth,mi/h,0,2.7,4,393a1846-b31f-4341-ad5c-e32f862496e0,
,0,2017-05-11 23:55:01.677,36.318066,,남남동. 158.0,대체로 흐림,0,0,AccuWeather,2017-05-11 23:55:01.680,2017-05-11 23:55:01.680,1,127.41558,67.0,71,UTC+0900,wakAfCXJCw,212b5d2e-cb9f-48c7-8f25-f1d7e0dc8252,com.sec.android.app.shealth,mi/h,0,1.2,20,0ac2a509-1eb8-461b-86bc-61c1dacd9255,
0.0,0,2017-02-15 02:02:14.080,36.34828,,북북동. 23.0,구름과 해,0,0,AccuWeather,2017-02-15 02:02:14.086,2017-02-15 02:02:14.086,1,127.40538,34.0,63,UTC+0900,wakAfCXJCw,e37b52de-49a3-4343-9867-fc4c7b5dea0d,com.sec.android.app.shealth,mi/h,0,3.9,4,b292e4d1-b6c9-47e7-a333-3f3e6cbd27d5,
0.0,0,2017-01-18 01:38:25.293,36.35702,,동. 90.0,흐림,0,0,AccuWeather,2017-01-18 01:38:25.297,2017-01-18 01:38:25.297,1,127.40134,31.0,55,UTC+0900,wakAfCXJCw,c2180194-363e-491e-a2c9-0c9c9ca13609,com.sec.android.app.shealth,mi/h,0,2.6,20,a24a4635-2e6a-4101-9302-a5e26c6b3fe1,
0.0,0,2017-02-18 01:44:07.258,36.336857,,북서. 315.0,화창,0,0,AccuWeather,2017-02-18 01:44:07.263,2017-02-18 01:44:07.263,1,127.42048,30.0,35,UTC+0900,wakAfCXJCw,dd532d15-5a44-4664-881a-cbe72098606e,com.sec.android.app.shealth,mi/h,0,4.5,1,9287c954-b8d9-4422-af38-35fa8e15d971,
,0,2017-05-26 01:56:12.880,36.357975,,북북서. 338.0,대체로 화창,0,0,AccuWeather,2017-05-26 01:56:12.882,2017-05-26 01:56:12.882,1,127.402916,65.0,38,UTC+0900,wakAfCXJCw,052a19e3-8d62-4f82-ae9d-8707ab0ab30d,com.sec.android.app.shealth,mi/h,0,7.6,1,a4e0c029-d36e-4cd7-8016-de6298e2ab86,
0.0,0,2017-02-20 02:35:56.136,36.33876,,북북서. 338.0,대체로 화창,0,0,AccuWeather,2017-02-20 02:35:56.141,2017-02-20 02:35:56.141,1,127.414474,38.0,30,UTC+0900,wakAfCXJCw,08480f31-8310-4d0e-ab5f-8d78ac528bc4,com.sec.android.app.shealth,mi/h,0,6.4,1,b3d126a5-6f05-490f-8856-d913e89510b0,
,0,2017-05-27 00:35:07.879,36.344364,,남남서. 203.0,화창,0,0,AccuWeather,2017-05-27 00:35:07.887,2017-05-27 00:35:07.887,1,127.41538,65.0,61,UTC+0900,wakAfCXJCw,f635d9ad-72b4-4f89-9798-04b9669b43a1,com.sec.android.app.shealth,mi/h,0,2.1,1,85001a91-7e0d-4ae4-8c50-0746ecab251e,
