com.samsung.shealth.tracker.pedometer_step_count,6196009,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
,,0,36,2021-10-24 01:59:00.000,,,2021-10-24 02:00:00.000,2021-10-24 01:59:59.000,36,0.4630371,27.782227,1.4448242,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 01:59:59.000,364ae71d-0ac0-68c1-48e9-6a393a211da1,
,,0,40,2021-10-24 05:27:00.000,,,2021-10-24 05:28:00.000,2021-10-24 05:27:59.000,40,0.51197916,30.71875,1.6193237,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 05:27:59.000,f9165dbe-2a70-6a8c-36b4-d0c16db8d5ac,
29704,4,0,44,2021-10-24 05:26:00.000,,,2021-10-24 05:35:00.931,2021-10-24 05:35:00.931,44,1.0833334,32.18,1.8,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 05:27:00.000,0d72a50e-a8ad-4548-adfc-f15e0988c616,
,,0,14,2021-10-24 02:09:00.000,,,2021-10-24 02:10:00.000,2021-10-24 02:09:59.000,14,0.1818685,10.912109,0.56396484,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:09:59.000,c38af38c-6706-8bca-36fa-7c631e97ec20,
,,0,11,2021-10-24 05:35:00.000,,,2021-10-24 05:36:00.000,2021-10-24 05:35:59.000,11,0.13811849,8.287109,0.4491577,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 05:35:59.000,bc2806b3-0dc3-ad9c-4f2b-457f6b904969,
,,0,39,2021-10-24 02:15:00.000,,,2021-10-24 02:16:00.000,2021-10-24 02:15:59.000,39,0.49581707,29.749023,1.5783691,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:15:59.000,ba264e4c-fe0a-c856-6145-b84670c0997c,
,,0,10,2021-10-24 05:44:00.000,,,2021-10-24 05:45:00.000,2021-10-24 05:44:59.000,10,0.1265625,7.59375,0.40655518,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 05:44:59.000,ddd3058f-48f4-8cd2-432a-638ac5edfeb4,
,,0,39,2021-10-24 02:23:00.000,,,2021-10-24 02:24:00.000,2021-10-24 02:23:59.000,39,0.47556967,28.53418,1.6148071,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:23:59.000,846a4560-5ce6-3aac-3df4-5ab25f030f09,
,,0,10,2021-10-24 05:53:00.000,,,2021-10-24 05:54:00.000,2021-10-24 05:53:59.000,10,0.13251953,7.951172,0.39782715,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 05:53:59.000,75e8b89c-2a1e-2125-b235-ac05184a7e5e,
27210,4,0,22,2021-10-24 02:23:00.000,,,2021-10-24 02:28:00.908,2021-10-24 02:28:00.908,47,1.0,27.21,3.52,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:24:00.000,84d7b4fb-e0e6-4641-bb8a-f6f0ee104759,
,,0,24,2021-10-24 06:14:00.000,,,2021-10-24 06:15:01.000,2021-10-24 06:14:59.000,24,0.31411132,18.84668,0.960022,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 06:14:59.000,b9300615-46d4-b807-5f81-998921d341db,
,,0,13,2021-10-24 02:32:00.000,,,2021-10-24 02:33:00.000,2021-10-24 02:32:59.000,13,0.16292317,9.775391,0.52948,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:32:59.000,0262c35e-5b2d-8289-ec68-fff3c948256b,
,,0,16,2021-10-24 06:19:00.000,,,2021-10-24 06:20:01.000,2021-10-24 06:19:59.000,16,0.2076009,12.456055,0.6427002,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 06:19:59.000,bd090401-64cc-527b-31fe-671ea974e226,
