com.samsung.health.sleep_stage,6200039,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-07-14 21:19:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 21:19:42.000,2021-07-14 21:21:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 21:21:42.000,86c8fdd0-663a-56fa-5d52-488eaf0a413e,
2021-07-15 16:01:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 16:01:44.000,2021-07-15 16:04:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 16:04:44.000,078b5e5c-fa67-eda8-371a-5bc8a670c865,
2021-07-14 21:42:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 21:42:42.000,2021-07-14 21:43:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 21:43:42.000,a868d99a-415b-9ba9-a881-e0e70b08239a,
2021-07-15 16:17:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 16:17:44.000,2021-07-15 16:33:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 16:33:44.000,1962327e-13a5-5bc7-0fa5-17d5a779cc09,
2021-07-14 22:16:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 22:16:42.000,2021-07-14 22:25:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 22:25:42.000,0309b4a0-aca8-f80b-fbf1-4993e7a2b304,
2021-07-15 17:13:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 17:13:44.000,2021-07-15 17:17:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 17:17:44.000,9a10f9ac-5403-f161-b2b2-dc4da9bfbf22,
2021-07-14 16:05:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 16:05:42.000,2021-07-14 16:07:42.000,40003,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 16:07:42.000,a3dc48f7-ea6a-2510-b15c-c93abae10272,
2021-07-15 17:48:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 17:48:44.000,2021-07-15 18:21:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 18:21:44.000,e98be1e5-aff1-521a-ef6f-c371a2c664ae,
2021-07-14 22:40:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 22:40:42.000,2021-07-14 22:45:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 22:45:42.000,fa78c0c3-33ed-ddd3-8cf5-b02bf545ed42,
2021-07-14 16:16:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 16:16:42.000,2021-07-14 16:36:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 16:36:42.000,0fb1a7a4-73db-ce0f-10d2-6e169f468c34,
2021-07-15 19:37:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 19:37:44.000,2021-07-15 19:58:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 19:58:44.000,49267999-fb7d-bdb9-92fe-61d88af71de4,
2021-07-14 17:23:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 17:23:42.000,2021-07-14 17:41:42.000,40004,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 17:41:42.000,8fd4b72c-f058-af65-7ec5-538e9f30c499,
2021-07-15 20:08:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 20:08:44.000,2021-07-15 20:16:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 20:16:44.000,7c98b049-a99e-0cdc-3b5b-5bb5d55d2e19,
2021-07-14 22:56:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 22:56:42.000,2021-07-14 22:58:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 22:58:42.000,449c2412-3f96-343f-e5b2-2d38c9e7abb7,
2021-07-14 18:48:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 18:48:42.000,2021-07-14 18:50:42.000,40003,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 18:50:42.000,992ce664-84f9-865e-1275-d675443bec70,
2021-07-15 21:15:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 21:15:44.000,2021-07-15 21:19:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 21:19:44.000,aabd6f72-d8d4-4261-dd6b-3b0c018eedb2,
2021-07-15 15:13:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 15:13:44.000,2021-07-15 15:16:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 15:16:44.000,91981a49-6b27-a496-476b-0c80e0cb2516,
2021-07-14 19:00:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 19:00:42.000,2021-07-14 19:04:42.000,40003,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 19:04:42.000,ebd32a76-dcc4-2cd7-51b0-84f916a2b721,
2021-07-15 21:39:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 21:39:44.000,2021-07-15 21:40:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 21:40:44.000,35bdbbfb-8608-5680-9b12-4ab07504923e,
2021-07-14 20:06:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 20:06:42.000,2021-07-14 20:07:42.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 20:07:42.000,d6afd583-cf98-2ca2-576b-631384703010,
2021-07-15 22:04:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 22:04:44.000,2021-07-15 22:09:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 22:09:44.000,33aecfa9-c0f6-b8c5-1fff-04843831f14e,
2021-07-15 15:39:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 15:39:44.000,2021-07-15 15:42:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 15:42:44.000,c29fd2d1-65b7-8474-66d7-eb0a0b4157f3,
2021-07-14 20:23:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 20:23:42.000,2021-07-14 20:24:42.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 20:24:42.000,2903e45f-aff7-4ab0-20fa-c96e705cc2f4,
2021-07-15 23:00:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 23:00:44.000,2021-07-15 23:05:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 23:05:44.000,210042a5-02d2-926b-f5d3-eef1b0a19329,
2021-07-15 16:14:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 16:14:44.000,2021-07-15 16:15:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 16:15:44.000,1cec09cb-e231-138d-3283-d5253aa0387a,
